Archive,PedObserv_ID,Location_ID,DateTime,Direction_1,Direction_2,Total_of_Directions,Sensor_Name
pedestrian-counting-system-monthly-counts-per-hour.zip,841120241208,84,2024-12-08T11:00:00,1094,836,1930,ElFi_T
pedestrian-counting-system-monthly-counts-per-hour.zip,108520241218,108,2024-12-18T05:00:00,7,55,62,261Will_T
pedestrian-counting-system-monthly-counts-per-hour.zip,165920241223,165,2024-12-23T09:00:00,27,32,59,Spen475_T
pedestrian-counting-system-monthly-counts-per-hour.zip,1351120241229,135,2024-12-29T11:00:00,368,463,831,Spen161_T
pedestrian-counting-system-monthly-counts-per-hour.zip,167120241231,167,2024-12-31T01:00:00,3,10,13,Lat526_T_2
pedestrian-counting-system-monthly-counts-per-hour.zip,135220241214,135,2024-12-14T02:00:00,64,69,133,Spen161_T
pedestrian-counting-system-monthly-counts-per-hour.zip,681520241207,68,2024-12-07T15:00:00,332,227,559,FLDegN_T
pedestrian-counting-system-monthly-counts-per-hour.zip,711620241210,71,2024-12-10T16:00:00,21,15,36,WestWP_T
pedestrian-counting-system-monthly-counts-per-hour.zip,861620241205,86,2024-12-05T16:00:00,44,57,101,574Qub_T
pedestrian-counting-system-monthly-counts-per-hour.zip,63420241217,63,2024-12-17T04:00:00,0,3,3,Bou231_T
pedestrian-counting-system-monthly-counts-per-hour.zip,79120241213,79,2024-12-13T01:00:00,40,57,97,FliSS_T
pedestrian-counting-system-monthly-counts-per-hour.zip,251520241214,25,2024-12-14T15:00:00,1195,1127,2322,MCEC_T
pedestrian-counting-system-monthly-counts-per-hour.zip,161520241221,161,2024-12-21T05:00:00,3,2,5,BirArt1109_T
pedestrian-counting-system-monthly-counts-per-hour.zip,29120241215,29,2024-12-15T01:00:00,21,54,75,AG_T
pedestrian-counting-system-monthly-counts-per-hour.zip,18720241202,18,2024-12-02T07:00:00,45,397,442,Col12_T
pedestrian-counting-system-monthly-counts-per-hour.zip,35920241201,35,2024-12-01T09:00:00,671,496,1167,SouthB_T
pedestrian-counting-system-monthly-counts-per-hour.zip,232020241206,23,2024-12-06T20:00:00,89,174,263,Col623_T
pedestrian-counting-system-monthly-counts-per-hour.zip,701520241206,70,2024-12-06T15:00:00,165,147,312,Errol20_T
pedestrian-counting-system-monthly-counts-per-hour.zip,31120241214,3,2024-12-14T11:00:00,560,615,1175,Swa295_T
pedestrian-counting-system-monthly-counts-per-hour.zip,1081520241228,108,2024-12-28T15:00:00,75,111,186,261Will_T
pedestrian-counting-system-monthly-counts-per-hour.zip,67820241218,67,2024-12-18T08:00:00,328,314,642,FLDegS_T
pedestrian-counting-system-monthly-counts-per-hour.zip,271820241226,27,2024-12-26T18:00:00,48,39,87,Vic_T
pedestrian-counting-system-monthly-counts-per-hour.zip,721120241203,72,2024-12-03T11:00:00,146,239,385,ACMI_T
pedestrian-counting-system-monthly-counts-per-hour.zip,401120241228,40,2024-12-28T11:00:00,79,193,272,Spr201_T
pedestrian-counting-system-monthly-counts-per-hour.zip,471920241222,47,2024-12-22T19:00:00,697,681,1378,Eli250_T
pedestrian-counting-system-monthly-counts-per-hour.zip,301420241229,30,2024-12-29T14:00:00,297,482,779,Lon189_T
pedestrian-counting-system-monthly-counts-per-hour.zip,28420241202,28,2024-12-02T04:00:00,1,18,19,VAC_T
pedestrian-counting-system-monthly-counts-per-hour.zip,1391820241210,139,2024-12-10T18:00:00,116,39,155,Signal1647_T
pedestrian-counting-system-monthly-counts-per-hour.zip,39020241231,39,2024-12-31T00:00:00,0,1,1,AlfPl_T
pedestrian-counting-system-monthly-counts-per-hour.zip,281920241211,28,2024-12-11T19:00:00,403,517,920,VAC_T
pedestrian-counting-system-monthly-counts-per-hour.zip,631320241216,63,2024-12-16T13:00:00,369,397,766,Bou231_T
pedestrian-counting-system-monthly-counts-per-hour.zip,721120241221,72,2024-12-21T11:00:00,174,275,449,ACMI_T
pedestrian-counting-system-monthly-counts-per-hour.zip,1171820241213,117,2024-12-13T18:00:00,305,366,671,Fli114F_T
pedestrian-counting-system-monthly-counts-per-hour.zip,35120241210,35,2024-12-10T01:00:00,32,36,68,SouthB_T
pedestrian-counting-system-monthly-counts-per-hour.zip,1391920241201,139,2024-12-01T19:00:00,23,25,48,Signal1647_T
pedestrian-counting-system-monthly-counts-per-hour.zip,67020241227,67,2024-12-27T00:00:00,16,20,36,FLDegS_T
pedestrian-counting-system-monthly-counts-per-hour.zip,852020241210,85,2024-12-10T20:00:00,31,27,58,488Mac_T
pedestrian-counting-system-monthly-counts-per-hour.zip,421220241216,42,2024-12-16T12:00:00,84,133,217,UM1_T
pedestrian-counting-system-monthly-counts-per-hour.zip,76620241201,76,2024-12-01T06:00:00,2,5,7,KenMac_T
pedestrian-counting-system-monthly-counts-per-hour.zip,5020241226,5,2024-12-26T00:00:00,663,556,1219,PriNW_T
pedestrian-counting-system-monthly-counts-per-hour.zip,166420241202,166,2024-12-02T04:00:00,1,0,1,Spen484_T
pedestrian-counting-system-monthly-counts-per-hour.zip,143420241211,143,2024-12-11T04:00:00,26,7,33,Spencer_T
pedestrian-counting-system-monthly-counts-per-hour.zip,131020241228,131,2024-12-28T00:00:00,95,85,180,King2_T
pedestrian-counting-system-monthly-counts-per-hour.zip,852320241204,85,2024-12-04T23:00:00,3,38,41,488Mac_T
pedestrian-counting-system-monthly-counts-per-hour.zip,371020241209,37,2024-12-09T10:00:00,67,58,125,Lyg260_T
pedestrian-counting-system-monthly-counts-per-hour.zip,371220241225,37,2024-12-25T12:00:00,26,45,71,Lyg260_T
pedestrian-counting-system-monthly-counts-per-hour.zip,871820241218,87,2024-12-18T18:00:00,152,96,248,Errol23_T
