num_expediente,fecha,hora,localizacion,cod_distrito,distrito,tipo_accidente,estado_meteorológico,tipo_vehiculo,tipo_persona,rango_edad,sexo,cod_lesividad,lesividad,coordenada_x_utm,coordenada_y_utm,positiva_alcohol,positiva_droga
2025S058471,2025-05-18,17:30:00,CALL. GENERAL ORAA / CALL. PRINCIPE DE VERGARA,4,SALAMANCA,Colisión fronto-lateral,Despejado,Turismo,Pasajero,De 70 a 74 años,Hombre,,Desconocido,442396,4476362,false,false
2025S058474,2025-05-18,21:39:00,CALL. HERMANOS GARCIA NOBLEJAS / CALL. JULIAN CAMARILLO,20,SAN BLAS-CANILLEJAS,Choque contra obstáculo fijo,Despejado,Turismo,Conductor,De 45 a 49 años,Mujer,,Desconocido,446227,4476021,false,false
2025S058475,2025-05-18,21:50:00,CALL. EDUARDO TERAN / CALL. RODRIGUEZ AYUSO,20,SAN BLAS-CANILLEJAS,Colisión fronto-lateral,Despejado,Motocicleta hasta 125cc,Conductor,De 30 a 34 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,447581,4477465,false,false
2025S058475,2025-05-18,21:50:00,CALL. EDUARDO TERAN / CALL. RODRIGUEZ AYUSO,20,SAN BLAS-CANILLEJAS,Colisión fronto-lateral,Despejado,Turismo,Conductor,De 18 a 20 años,Hombre,14,Sin asistencia sanitaria,447581,4477465,false,false
2025S058573,2025-05-18,13:30:00,CALL. JAIME EL CONQUISTADOR,2,ARGANZUELA,Choque contra obstáculo fijo,Despejado,Turismo,Conductor,Más de 74 años,Hombre,,Desconocido,440735,4471853,false,false
2025S058573,2025-05-18,13:30:00,CALL. JAIME EL CONQUISTADOR,2,ARGANZUELA,Choque contra obstáculo fijo,Despejado,Turismo,Pasajero,Más de 74 años,Mujer,,Desconocido,440735,4471853,false,false
2025S061605,2025-05-18,20:40:00,AVDA. MARQUES DE CORBERA / AUTOV. M-30,15,CIUDAD LINEAL,Alcance,Despejado,Turismo,Conductor,De 25 a 29 años,Mujer,,Desconocido,444255,4474818,false,false
2025S061605,2025-05-18,20:40:00,AVDA. MARQUES DE CORBERA / AUTOV. M-30,15,CIUDAD LINEAL,Alcance,Despejado,Turismo,Conductor,De 45 a 49 años,Mujer,,Desconocido,444255,4474818,false,false
2025S058252,2025-05-19,06:35:00,CALL. MATEO LOPEZ / CALL. MATEO LOPEZ,3,RETIRO,Alcance,Despejado,Turismo,Conductor,De 55 a 59 años,Hombre,,Desconocido,443368,4474494,true,false
2025S058252,2025-05-19,06:35:00,CALL. MATEO LOPEZ / CALL. MATEO LOPEZ,3,RETIRO,Alcance,Despejado,Turismo,Conductor,Desconocido,Desconocido,,Desconocido,443368,4474494,false,false
2025S058536,2025-05-19,03:40:00,CALL. CERRO DEL CASTAÑAR / CALL. SALOU,8,FUENCARRAL-EL PARDO,Choque contra obstáculo fijo,Despejado,Turismo,Conductor,De 21 a 24 años,Hombre,,Desconocido,439719,4482339,false,false
2025S058537,2025-05-19,05:35:00,AVDA. POBLADOS / AUTOV. A-42,11,CARABANCHEL,Caída,Despejado,Motocicleta > 125cc,Conductor,De 40 a 44 años,Hombre,2,Ingreso inferior o igual a 24 horas,437709,4469470,false,false
